SKU,Model_Number,Category,Match_Found,Candidate_ASIN,Candidate_Title,Candidate_Price_USD,Candidate_URL
UniFi 5G Backup,U5G,Integrations,발견,B0H2WPZ4TX,UniFi 5G Backup | U5G,139.99,https://www.amazon.com/Ubiquiti-Inc-U5G-UniFi-Backup/dp/B0H2WPZ4TX/ref=sr_1_2_mod_primary_new?dib=eyJ2IjoiMSJ9.VwUCkoAiPXTY205kWnuXjgqfBY42QuXEtXO7gQ5QTht_hLfRcYfnIPhWR_I4JYu6a7x-O06c4phOKD9vEs3KXcPI3Fw4HdxbmDZ9O1x_FYIYTejojJQhEvbLtQLkYrIKYUKZYc8ik6IPEhMU5433B_rYuXuRfMoiv8zuYz5cdmBP4k_laGQgpAcO-9JAMf8lSOlGVUIIOUXqbY8d4i_W7e-qf37N4QQxytPVEXrHC5g.niUywwcTOuJwf7hJLuZELRMJI7MyVYKf7lX2M61zwpk&dib_tag=se&keywords=Ubiquiti+U5G&qid=1785504947&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-2
UniFi 5G Max,U5G-Max,Integrations,없음,,,,
UniFi 5G Max Outdoor,U5G-Max-Outdoor,Integrations,발견,B0GQ46LXWB,Ubiquiti UniFi 5G Max Outdoor(U5G-Max-Outdoor),479,https://www.amazon.com/Ubiquiti-UniFi-Max-Outdoor-U5G-Max-Outdoor/dp/B0GQ46LXWB/ref=sr_1_1_mod_primary_new?dib=eyJ2IjoiMSJ9.FuLeprhbuF1kDdjlIOTlrmDwBf1zZgkLwDJcUlUE69jznA-BdVHnPne34rK0_r_uEZGywW48LAv3L-4Dprog6esOc0h8NKyaQAcc4_Wi4AJPUfbpOYdV9sXjIciBdb0PW3_V2qtkx4t23YS8SPVK-fboCsi5aAAEuICqIMwO7jyp97NYxaJ1xkGZsny4910IlCw4r6jHwXu9DdV6aPIoYWjupFmmjhS4uHiaY9GD6uw.uAfTaX5muDZDIGojaU8Pf6mmTyNkSmT4K4zG7-ddP4o&dib_tag=se&keywords=Ubiquiti+U5G-Max-Outdoor&qid=1785504955&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-1
UniFi AI 360,UVC-AI-360,Physical Security,없음,,,,
UniFi AI 360 Black,UVC-AI-360-B,Physical Security,없음,,,,
UniFi AI Dome,UVC-AI-Dome,Physical Security,없음,,,,
UniFi AI Dome Black,UVC-AI-Dome-B,Physical Security,없음,,,,
UniFi AI Horn Speaker,UP-AI-Horn-Speaker,Physical Security,없음,,,,
UniFi AI Horn Speaker Black,UP-AI-Horn-Speaker-B,Physical Security,없음,,,,
UniFi AI Key,AI-Key,Physical Security,없음,,,,
UniFi AI LPR,UVC-AI-LPR,Physical Security,없음,,,,
UniFi AI Multi Sensor 2,UVC-AI-MS-2,Physical Security,없음,,,,
UniFi AI Multi Sensor 4,UVC-AI-MS-4,Physical Security,없음,,,,
UniFi AI Multi Sensor 4 Black,UVC-AI-MS-4-B,Physical Security,없음,,,,
UniFi AI PTZ Industrial,UVC-AI-PTZ,Physical Security,발견,B0FN4BGSP3,Ubiquiti UVC-AI-PTZ 8 Megapixel Outdoor 4K Network Camera - Color - White,1489.99,https://www.amazon.com/Ubiquiti-PTZ-Industrial-%D0%A1amera-UVC-AI-PTZ-W/dp/B0FN4BGSP3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uwYIZCJeXUVKRaSdxn60bl81alFKBLFH_EOQHoqX5NA84RR7gPrQEbm3DgzJXFT6lv75jYhzy-Ku1sFHFtmDCpN4TO3roI8LyiXaW-bvzeIx6Gu6h3uO9-SOMcnfxDCtjaA83poExta-HRytS2ZTy0303eaqATnIYikg8GnRCk-5HtjJ3oaN0c1rjAfFqLTHcjaQtS-RxWxUd1HEX4bEAKBbUusYzoEiYEguRiHTFV4.y4zLHzwD03GPeXNes9MsCNolX5hkvmjos1sKCGtzGyA&dib_tag=se&keywords=Ubiquiti+UVC-AI-PTZ&qid=1785505010&sr=8-1
UniFi AI PTZ Industrial Black,UVC-AI-PTZ-B,Physical Security,없음,,,,
UniFi AI PTZ Precision,UVC-AI-PTZ-Precision,Physical Security,없음,,,,
UniFi AI PTZ Precision Black,UVC-AI-PTZ-Precision-B,Physical Security,없음,,,,
