영문상품명,NocoDB_SKU명,판매금액,최종가격,수익,In_Stock,Naver_Product_No
UniFi Cloud Gateway Ultra UCG-Ultra,Unifi Cloud Gateway Ultra,256400,228300,28100,1,13679282123
UniFi U7 Pro XG,UniFi U7 Pro XG,456200,414700,41500,1,
UniFi Dream Router 7,UniFi Dream Router 7,637500,568400,69100,1,
UniFi Dream Router 5G Max,UniFi Dream Router 5G Max,1125200,0,0,0,
UniFi U7 Lite,UniFi U7 Lite,197500,179500,18000,1,
UniFi U7 Long Range,UniFi U7 Long-Range,312400,284000,28400,1,
UniFi U7 Pro,UniFi U7 Pro,433500,282800,150700,1,
UniFi U7 Pro Max,UniFi U7 Pro Max,635400,557100,78300,1,
UniFi UCG Fiber,Unifi Cloud Gateway Fiber,635400,577700,57700,1,
UniFi UCG Max,Unifi Cloud Gateway Max,634200,576500,57700,1,
UniFi UX7,UniFi Express 7 Cloud Gateway,455000,413600,41400,1,
UniFi Switch Flex 2.5G,UniFi Flex 2.5G,312000,283600,28400,1,
UniFi Switch Flex 2.5G PoE,UniFi Flex 2.5G PoE,453600,412400,41200,1,
UniFi Switch Flex mini,UniFi Flex Mini,61200,55700,5500,1,
UniFi Switch Flex mini 2.5G,UniFi Flex Mini 2.5G,102200,92900,9300,1,
UniFi Switch Lite 16 PoE,UniFi Lite 16 PoE,456800,415300,41500,1,
UniFi Switch Lite 8 PoE,UniFi Lite 8 PoE,217600,197800,19800,1,
UniFi Switch Ultra 210W,UniFi Ultra 210W,457000,415500,41500,1,
UniFi Switch Ultra 60W,UniFi Ultra 60W,312900,284400,28500,1,
