품목분류코드,품목명
229,의류 > 유아동의류(우비)
230,의류 > 티셔츠
231,의류 > 셔츠
232,의류 > 블라우스
233,의류 > 스웨터
234,의류 > 원피스
235,의류 > 드레스
236,의류 > 바디슈트
237,의류 > 자켓
238,의류 > 코트
239,의류 > 조끼
240,의류 > 후드
241,의류 > 바지
242,의류 > 스커트
243,의류 > 트레이닝복
244,의류 > 속옷
245,의류 > 양말
246,의류 > 수영복
247,의류 > 중고의류(구제)
248,의류 > 기타의류
249,의류 > 가죽의류
226,패션/신발/잡화 > 구두
225,패션/신발/잡화 > 부츠
223,패션/신발/잡화 > 샌들/슬리퍼
224,패션/신발/잡화 > 운동화/스니커즈
10,패션/신발/잡화 > 기타신발
250,패션/신발/잡화 > 신발 부속품
6,패션/신발/잡화 > 가방
222,패션/신발/잡화 > 가방(가죽제품)
7,패션/신발/잡화 > 지갑
221,패션/신발/잡화 > 지갑(가죽제품)
14,패션/신발/잡화 > 목도리/머플러/스카프
15,패션/신발/잡화 > 모자(안전모 제외)
18,패션/신발/잡화 > 시계 및 부품
21,패션/신발/잡화 > 장갑
25,패션/신발/잡화 > 헤어 액세서리
16,패션/신발/잡화 > 선글래스/안경
17,패션/신발/잡화 > 핸드폰케이스
27,패션/신발/잡화 > 벨트
251,패션/신발/잡화 > 넥타이
19,패션/신발/잡화 > 우산
13,패션/신발/잡화 > 악세서리
327,패션/신발/잡화 > 잡화(문구류/장식품)
30,유아용품/장난감 > 유아용 목욕통 (플라스틱)
32,유아용품/장난감 > 분유/이유식
33,유아용품/장난감 > 수유관련 용품
37,유아용품/장난감 > 젖병류
38,유아용품/장난감 > 기저귀(종이 / 면)
252,유아용품/장난감 > 카시트
253,유아용품/장난감 > 유아장난감
254,유아용품/장난감 > 치발기
255,유아용품/장난감 > 아기띠
256,유아용품/장난감 > 유모차
257,유아용품/장난감 > 보행기
61,유아용품/장난감 > 레고
302,유아용품/장난감 > 비디오 게임
304,유아용품/장난감 > 인형
306,유아용품/장난감 > 기타 완구
